Time [s],v-velocity [m/s],v-fluctuation [m/s],u-velocity [m/s]
0.0,0.00039991004,-0.0005339086935949998,-0.0023142792
0.02,-0.00056864399,-0.0015024627235949999,-0.0014057945
0.04,5.1638179e-06,-0.0009286549156949999,-0.002210253
0.06,-5.7360026e-05,-0.0009911787595949999,-0.0016208731
0.08,0.00019484937,-0.0007389693635949998,-0.0018400258
0.1,0.00037413224,-0.0005596864935949998,-0.001890321
0.12,0.00075294515,-0.00018087358359499981,-0.0013228325
0.14,0.0012748615,0.00034104276640500007,-0.0018771518
0.16,0.0013115416,0.0003777228664050002,-0.00059265049
0.18,0.0019607427,0.0010269239664050002,-0.00161508
0.2,0.0016107051,0.0006768863664050002,-0.00037168503
0.22,0.00182279,0.0008889712664050001,-0.00060871929
0.24,0.0018898931,0.0009560743664050001,-0.00070461304
0.26,0.0013927253,0.0004589065664050001,-0.00018535567
0.28,0.002038336,0.0011045172664050002,-0.0010935233
0.3,0.0017195377,0.0007857189664050001,-0.00045483947
0.32,0.0012363036,0.00030248486640500015,-0.0010694618
0.34,0.00075944233,-0.00017437640359499983,-0.0011070938
0.36,0.00038237591,-0.0005514428235949998,-0.0016813433
0.38,0.00017612323,-0.0007576955035949999,-0.0012989887
